Type , Left     , Old Mid      , Right        , New Mid    , Frequency
SUB  , NEWLINE  , '>>'         , '>'          , NAME       , 13       
SUB  , ':'      , UNKNOWN_CHAR , NAME         , STRING     , 13       
SUB  , STRING   , '.'          , STRING       , '，'        , 13       
DEL  , NAME     , ':'          , END          ,            , 13       
DEL  , NAME     , NAME         , 'in'         ,            , 13       
DEL  , '...'    , '.'          , NEWLINE      ,            , 13       
DEL  , NAME     , NAME         , UNKNOWN_CHAR ,            , 12       
INS  , STRING   ,              , NAME         , ')'        , 12       
INS  , '('      ,              , NEWLINE      , ')'        , 12       
DEL  , ']'      , ']'          , END          ,            , 12       
INS  , ')'      ,              , NAME         , '，'        , 12       
INS  , NAME     ,              , '['          , '='        , 12       
DEL  , STRING   , NUMBER       , STRING       ,            , 12       
INS  , ')'      ,              , NAME         , '.'        , 12       
DEL  , NEWLINE  , '>'          , NAME         ,            , 12       
DEL  , NAME     , UNKNOWN_CHAR , NEWLINE      ,            , 12       
INS  , STRING   ,              , END          , ']'        , 12       
DEL  , '('      , UNKNOWN_CHAR , NAME         ,            , 12       
DEL  , NAME     , ']'          , ')'          ,            , 12       
DEL  , NAME     , STRING       , ')'          ,            , 12       
SUB  , NAME     , '='          , STRING       , '=='       , 12       
INS  , NAME     ,              , 'in'         , 'for'      , 12       
DEL  , NAME     , '('          , ')'          ,            , 11       
DEL  , NAME     , ')'          , NEWLINE      ,            , 11       
DEL  , START    , UNKNOWN_CHAR , NEWLINE      ,            , 11       
DEL  , NEWLINE  , NEWLINE      , NAME         ,            , 11       
DEL  , NAME     , '.'          , NEWLINE      ,            , 11       
DEL  , STRING   , NAME         , ':'          ,            , 11       
SUB  , STRING   , ']'          , END          , '}'        , 11       
INS  , NUMBER   ,              , END          , ')'        , 11       
DEL  , NEWLINE  , 98           , 'def'        ,            , 11       
DEL  , NAME     , '>'          , END          ,            , 11       
INS  , '.'      ,              , NEWLINE      , NAME       , 11       
DEL  , NUMBER   , NAME         , '='          ,            , 11       
DEL  , NAME     , NAME         , 'as'         ,            , 11       
DEL  , NEWLINE  , 99           , NAME         ,            , 11       
INS  , '('      ,              , NAME         , 'lambda'   , 11       
DEL  , ']'      , ')'          , END          ,            , 11       
DEL  , STRING   , UNKNOWN_CHAR , NEWLINE      ,            , 10       
INS  , NEWLINE  ,              , 'class'      , 98         , 10       
INS  , '}'      ,              , NAME         , '，'        , 10       
DEL  , NEWLINE  , NUMBER       , NAME         ,            , 10       
SUB  , STRING   , UNKNOWN_CHAR , ']'          , '，'        , 10       
DEL  , '，'      , '{'          , STRING       ,            , 10       
INS  , NEWLINE  ,              , 'if'         , 99         , 10       
DEL  , ']'      , ')'          , 'for'        ,            , 10       
DEL  , START    , '<'          , NAME         ,            , 10       
SUB  , '，'      , UNKNOWN_CHAR , NUMBER       , STRING     , 10       
DEL  , NEWLINE  , UNKNOWN_CHAR , END          ,            , 10       
DEL  , '='      , UNKNOWN_CHAR , NAME         ,            , 10       
DEL  , '('      , '['          , NAME         ,            , 10       
SUB  , ')'      , NEWLINE      , NAME         , ':'        , 10       
INS  , 'else'   ,              , NEWLINE      , ':'        , 10       
DEL  , ')'      , NAME         , 'in'         ,            , 10       
DEL  , ')'      , ')'          , '，'          ,            , 10       
SUB  , STRING   , '='          , NUMBER       , ':'        , 10       
INS  , NAME     ,              , NAME         , ':'        , 10       
INS  , '('      ,              , STRING       , '{'        , 10       
