Snippet length, Patch size, Bonus Actions, Bonus Total, Possible, Distinct valid repairs, Relevant edit actions, Saturation, Seq2Parse matched
105, 3, 13, 103, 1, 39, 933, 2.2737269588227652E-4, 0
60, 3, 21, 194, 1, 64, 352, 0.0038780778139595813, 0
23, 1, 41, 564, 1, 160, 146, 0.03510885906062131, 1
9, 2, 71, 351, 1, 107, 59, 0.355490747176806, 0
65, 1, 43, 1561, 1, 523, 460, 0.0016525730479912755, 0
223, 2, 5, 30, 1, 11, 1746, 2.5804386777539323E-5, 0
18, 1, 43, 357, 1, 110, 98, 0.14912180823896445, 1
126, 3, 11, 30, 1, 13, 1105, 1.373901035097913E-4, 0
25, 2, 48, 316, 1, 106, 137, 0.058979798649454955, 0
133, 2, 0, 0, 1, 1, 985, 2.2009720572319755E-4, 0
34, 1, 119, 4736, 1, 1569, 262, 0.013894022527948987, 1
81, 2, 49, 546, 1, 225, 840, 1.219087993547797E-4, 0
149, 3, 5, 14, 1, 7, 1158, 1.0039952741577643E-4, 0
1132, 3, 0, 0, 1, 1, 8308, 9.74317418114614E-8, 0
85, 3, 32, 132, 1, 52, 600, 3.76558660842464E-4, 0
46, 3, 50, 1287, 1, 379, 400, 0.00142520196707959, 0
142, 2, 29, 150, 1, 79, 1255, 5.2333183526048507E-5, 0
44, 2, 56, 596, 1, 200, 374, 0.001926640416066081, 0
166, 2, 21, 202, 1, 99, 1537, 2.9027040367390096E-5, 0
12, 3, 60, 563, 1, 166, 69, 0.35832466376706235, 0
115, 3, 15, 51, 1, 19, 848, 1.7871053738564824E-4, 0
176, 3, 18, 209, 1, 77, 1096, 1.0733849177057295E-4, 0
109, 3, 13, 120, 1, 45, 777, 4.1472005451656735E-4, 0
99, 1, 24, 260, 1, 95, 662, 4.162910258066174E-4, 0
180, 2, 0, 0, 1, 1, 1741, 4.138224106834783E-5, 0
73, 2, 10, 42, 1, 13, 542, 0.0016863572880312658, 0
13, 1, 71, 552, 1, 166, 104, 0.17830709264399755, 0
44, 2, 47, 449, 1, 136, 374, 0.001326693676761619, 0
50, 2, 6, 11, 1, 5, 371, 0.0018882356797866992, 0
23, 3, 4, 4, 1, 2, 139, 0.05230854311675419, 0
43, 2, 18, 97, 1, 29, 245, 0.011614181379521592, 0
58, 3, 0, 0, 1, 1, 337, 0.01102446577705557, 0
218, 2, 22, 297, 1, 109, 1667, 2.2706143514440087E-5, 0
32, 2, 76, 662, 1, 199, 224, 0.01162545707763504, 0
39, 2, 12, 46, 1, 13, 194, 0.027819833642819296, 0
31, 3, 54, 430, 1, 136, 214, 0.012291976489464248, 0
18, 1, 30, 226, 1, 67, 97, 0.19437658828161353, 0
108, 2, 13, 107, 1, 42, 1024, 1.200582222843534E-4, 0
45, 2, 21, 230, 1, 71, 219, 0.017898199976287412, 0
32, 2, 72, 1232, 1, 416, 227, 0.014400389564756602, 1
107, 3, 0, 0, 1, 1, 986, 2.8007945096876203E-4, 0
91, 2, 43, 504, 1, 201, 693, 3.378720396826739E-4, 0
152, 2, 10, 116, 1, 43, 1508, 2.474725552423789E-5, 0
71, 2, 34, 383, 1, 144, 574, 7.036771807390456E-4, 0
87, 2, 0, 0, 1, 1, 750, 6.053430602275762E-4, 0
11, 3, 57, 402, 1, 117, 53, 0.7353589464579672, 0
34, 1, 35, 880, 1, 259, 140, 0.07071697351537608, 1
14, 1, 149, 1829, 1, 593, 108, 0.15753368715323238, 0
43, 3, 0, 0, 1, 1, 320, 0.007350239018194384, 0
130, 1, 9, 56, 1, 20, 628, 0.0011845362945553913, 0
101, 2, 11, 87, 1, 28, 928, 2.692667647013927E-4, 0
2906, 1, 0, 0, 1, 1, 21572, 2.9253931841496844E-9, 1
52, 3, 80, 493, 1, 196, 491, 0.00182966960865671, 0
83, 1, 11, 52, 1, 20, 802, 2.4929804613938974E-4, 0
14, 3, 74, 1285, 1, 378, 83, 0.23467413387223338, 0
101, 2, 34, 639, 1, 246, 942, 1.2371061698313856E-4, 0
165, 3, 0, 0, 1, 1, 1521, 5.476392507401967E-5, 0
33, 2, 0, 0, 1, 1, 226, 0.018434948291194974, 0
125, 1, 0, 0, 1, 1, 865, 3.8638734605275543E-4, 1
444, 3, 0, 0, 1, 1, 3077, 5.855933807508657E-6, 0
28, 1, 19, 49, 1, 16, 137, 0.1069149926916508, 1
117, 2, 20, 83, 1, 31, 638, 4.2223604915333016E-4, 0
120, 3, 0, 0, 1, 1, 905, 3.581742398210499E-4, 0
31, 1, 23, 434, 1, 143, 157, 0.05470977055715552, 1
62, 2, 79, 415, 1, 178, 609, 7.53689098811446E-4, 0
27, 2, 37, 106, 1, 34, 200, 0.021273044451422207, 0
35, 1, 70, 1217, 1, 413, 159, 0.07606172567675895, 1
59, 1, 24, 197, 1, 68, 421, 0.001756996112021816, 0
17, 2, 68, 1179, 1, 386, 84, 0.2707603683052877, 0
100, 2, 39, 731, 1, 281, 779, 2.7980750658554177E-4, 0
13, 2, 154, 1131, 1, 371, 139, 0.05675730398367516, 1
42, 2, 44, 302, 1, 110, 354, 0.0022092658407058463, 1
63, 2, 29, 653, 1, 225, 379, 0.003851945511690177, 0
