SUB  , NUMBER   , '['          , NAME         , ']'        , 1
SUB  , '}'      , ';'          , ']'          , '，'        , 1
SUB  , ']'      , NEWLINE      , NAME         , ':'        , 1
SUB  , STRING   , '*'          , NEWLINE      , '**'       , 1
SUB  , '，'      , '-'          , '，'          , STRING     , 1
SUB  , NAME     , ':'          , 'False'      , '='        , 1
SUB  , 'is'     , UNKNOWN_CHAR , NAME         , STRING     , 1
SUB  , NEWLINE  , '@'          , 'def'        , 98         , 1
SUB  , '，'      , ']'          , END          , '}'        , 1
SUB  , '='      , '{'          , NUMBER       , '['        , 1
SUB  , START    , '['          , NUMBER       , '{'        , 1
SUB  , STRING   , '...'        , NAME         , '，'        , 1
SUB  , '['      , 'is'         , ']'          , NUMBER     , 1
SUB  , '，'      , UNKNOWN_CHAR , ']'          , '['        , 1
SUB  , '='      , 'in'         , '.'          , NAME       , 1
SUB  , ']'      , '.'          , '['          , '，'        , 1
SUB  , STRING   , UNKNOWN_CHAR , NAME         , STRING     , 1
SUB  , '('      , NUMBER       , '，'          , NAME       , 1
SUB  , STRING   , '，'          , END          , '}'        , 1
SUB  , NAME     , STRING       , NEWLINE      , '='        , 1
SUB  , NEWLINE  , NAME         , ':'          , 'try'      , 1
SUB  , ']'      , ')'          , END          , ']'        , 1
SUB  , NUMBER   , NAME         , END          , ']'        , 1
SUB  , ']'      , 'for'        , NAME         , ';'        , 1
SUB  , NAME     , STRING       , NAME         , ']'        , 1
SUB  , STRING   , NUMBER       , NAME         , '，'        , 1
SUB  , '('      , UNKNOWN_CHAR , '~'          , STRING     , 1
SUB  , STRING   , '}'          , END          , ')'        , 1
SUB  , '...'    , '.'          , NEWLINE      , '='        , 1
SUB  , NEWLINE  , 'class'      , '.'          , NAME       , 1
SUB  , '.'      , 'class'      , 'import'     , NAME       , 1
SUB  , STRING   , NAME         , NAME         , ']'        , 1
SUB  , ']'      , NAME         , UNKNOWN_CHAR , '='        , 1
SUB  , STRING   , NUMBER       , NAME         , ')'        , 1
SUB  , ']'      , ')'          , END          , '}'        , 1
SUB  , ')'      , '{'          , '}'          , ':'        , 1
SUB  , ':'      , '}'          , END          , 'pass'     , 1
SUB  , NAME     , STRING       , NEWLINE      , '.'        , 1
