Snippet length, Patch size, Time to find human repair (ms), First valid repair, Total repairs sampled, Distinct valid repairs, Rank of human repair, Throughput, Saturation, Seq2Parse matched
20, 1, 38, 0, 1467, 23, 5, 37, 2.1614281868799983E-4, 1
103, 1, 788, 50, 16487, 88, 20, 20, 1.373153433659403E-4, 0
26, 1, 1723, 0, 49993, 66, 15, 28, 0.9603142588217215, 0
9, 2, 1, 0, 115, 3, 0, 57, 0.0015152712994439613, 0
36, 1, 13, 2, 996, 15, 2, 71, 2.3717882926529573E-4, 0
34, 2, 199, 4, 5341, 31, 0, 26, 6.642869580358698E-4, 1
15, 1, 89, 0, 5299, 29, 7, 58, 0.0030409980947134034, 0
85, 1, 667, 15, 10209, 19, 0, 15, 2.2595945502085374E-5, 0
52, 2, 348, 95, 18708, 6, 0, 53, 2.851236463199366E-4, 0
41, 1, 2431, 19, 75790, 250, 42, 31, 0.0018403226865845964, 0
29, 1, 268, 2, 5212, 83, 9, 19, 2.340653774418729E-4, 1
12, 2, 246, 0, 15700, 160, 4, 63, 0.013823050861783578, 0
26, 1, 247, 1, 6076, 67, 27, 24, 3.0416160252115727E-4, 1
61, 3, 2500, 308, 66313, 15, 0, 26, 4.680056857965811E-4, 0
39, 1, 45, 0, 1196, 6, 1, 26, 2.5351571287632802E-5, 1
13, 3, 193, 1, 16308, 56, 16, 84, 0.07424201037967769, 0
16, 2, 23, 8, 1626, 4, 0, 67, 6.707383979995E-4, 0
47, 1, 596, 4, 24706, 171, 30, 41, 0.0012787173118635527, 0
40, 2, 310, 1, 7487, 49, 16, 24, 2.2777109841220394E-4, 0
27, 2, 178, 0, 11723, 30, 13, 65, 7.3838678454569E-4, 0
51, 1, 352, 58, 12892, 6, 0, 36, 1.8935381527081238E-4, 0
14, 1, 6, 1, 513, 2, 0, 73, 7.700864208094464E-4, 1
40, 1, 101, 0, 5257, 30, 1, 51, 9.92172463241303E-4, 0
17, 2, 28, 8, 2146, 5, 1, 74, 0.0016419042110328924, 0
11, 1, 0, 0, 3, 2, 0, 3, 1.6777772806585834E-5, 1
60, 1, 62, 22, 3845, 23, 0, 61, 4.7252904760178975E-5, 0
115, 1, 1687, 630, 56727, 35, 11, 33, 1.342847149849712E-4, 0
57, 1, 562, 9, 17902, 42, 0, 31, 4.19932124500234E-4, 0
6, 1, 9, 0, 1308, 21, 5, 130, 0.09068219633943428, 0
62, 3, 476, 92, 20720, 41, 0, 43, 1.1110156488430855E-4, 0
23, 1, 88, 0, 4874, 21, 14, 54, 0.003095648815981017, 0
36, 2, 23, 2, 934, 15, 0, 38, 1.4436665544501873E-4, 0
170, 1, 1460, 10, 18137, 59, 5, 12, 6.576753035552272E-6, 0
27, 2, 1152, 316, 79009, 8, 0, 68, 0.03568560498276898, 0
189, 1, 4507, 4, 68570, 84, 20, 15, 2.3630391226114932E-5, 1
18, 1, 112, 39, 7110, 5, 2, 62, 0.0018969839023173353, 0
290, 1, 901, 179, 13578, 3, 0, 15, 2.284759953649917E-6, 0
69, 2, 1475, 23, 38755, 51, 11, 26, 3.3691814939775764E-4, 0
10, 2, 62, 1, 3276, 11, 2, 52, 0.05813251943074139, 1
12, 2, 10, 0, 719, 16, 2, 65, 0.0026999218937755346, 0
19, 3, 2553, 1872, 142210, 16, 1, 55, 0.03035096005373151, 0
53, 1, 36, 0, 1831, 29, 1, 49, 1.4358865406214459E-5, 0
39, 2, 406, 29, 10158, 40, 4, 24, 1.4076120912631494E-4, 0
32, 2, 15, 3, 1013, 5, 1, 63, 9.470281266418738E-5, 0
9, 1, 51, 0, 3930, 29, 21, 75, 0.021978882376627443, 1
33, 1, 2228, 13, 112273, 140, 25, 50, 0.006363290119055581, 0
34, 2, 69, 17, 4146, 3, 0, 59, 2.674752599900171E-4, 0
51, 1, 129, 3, 2988, 26, 1, 22, 2.6463002159046204E-5, 0
13, 3, 39, 0, 2726, 17, 0, 68, 0.016991410798209854, 0
39, 1, 1968, 30, 60165, 65, 3, 30, 6.457873780720102E-4, 0
13, 1, 91, 0, 8816, 33, 27, 95, 0.021461923101267363, 0
57, 3, 3712, 1451, 165106, 30, 0, 44, 0.0011924780352408728, 0
30, 3, 2187, 1, 71009, 219, 98, 32, 0.005887166931182518, 0
111, 2, 180, 4, 3576, 5, 0, 19, 9.179808026494528E-6, 0
141, 1, 3041, 23, 55638, 120, 5, 18, 6.07108516625272E-5, 0
71, 2, 2247, 587, 71325, 70, 4, 31, 1.8460806706996268E-4, 0
54, 1, 43, 15, 2599, 10, 2, 59, 3.9610666922467144E-5, 0
23, 1, 110, 0, 9038, 38, 12, 81, 0.0034892263669385956, 1
17, 2, 128, 0, 11492, 26, 19, 89, 0.0025894523754372463, 0
13, 1, 25, 0, 1042, 12, 0, 40, 2.0717258530112496E-4, 0
34, 1, 299, 0, 4640, 5, 0, 15, 1.8012635630973114E-4, 0
32, 1, 18, 0, 1088, 11, 2, 57, 3.536764586610245E-5, 1
104, 2, 3994, 2191, 132756, 27, 0, 33, 1.0355345559627028E-4, 0
13, 1, 4, 0, 344, 7, 0, 68, 4.3696744592527855E-4, 0
13, 1, 298, 0, 31201, 95, 15, 104, 0.027470892352771302, 0
46, 1, 464, 59, 20254, 22, 2, 43, 0.0013549912501577166, 1
123, 1, 3646, 47, 76084, 412, 28, 20, 4.3125373566378336E-5, 0
41, 1, 108, 2, 2739, 34, 1, 25, 2.2812320342045883E-5, 1
10, 1, 19, 0, 1663, 12, 4, 83, 0.021912140617176588, 0
6, 1, 8, 0, 1345, 12, 5, 149, 0.03047467995921604, 0
24, 2, 1722, 858, 89820, 22, 3, 52, 0.012429255162146982, 0
61, 2, 71, 31, 5151, 10, 2, 71, 1.642778448315865E-4, 1
14, 2, 30, 0, 2208, 5, 0, 71, 0.0023943290836160877, 0
13, 1, 13, 0, 1018, 16, 8, 72, 0.002117683279455144, 0
52, 1, 639, 0, 33299, 229, 46, 52, 7.000098004315133E-4, 0
66, 1, 345, 1, 5745, 4, 0, 16, 2.6158767490670575E-5, 0
196, 1, 1571, 29, 22019, 45, 1, 14, 8.210660117985259E-6, 0
21, 3, 138, 13, 7617, 106, 98, 54, 0.0016551434609773364, 0
50, 1, 100, 1, 2529, 20, 1, 25, 2.080918092175785E-5, 0
37, 2, 519, 150, 27822, 10, 1, 53, 0.002029428389341263, 0
71, 1, 499, 13, 7475, 54, 4, 14, 2.0251052418747907E-5, 0
16, 1, 10, 1, 969, 27, 2, 88, 0.0017360178009007943, 0
110, 1, 854, 0, 24526, 34, 6, 28, 4.19264499089834E-5, 0
92, 1, 3172, 1, 59240, 57, 0, 18, 5.657561497593201E-4, 1
14, 3, 191, 10, 6405, 45, 22, 33, 0.0024727257004029325, 0
130, 2, 995, 104, 26519, 40, 1, 26, 1.9320745802236843E-5, 0
9, 1, 3, 0, 863, 6, 0, 215, 0.019553642234054605, 0
180, 1, 2438, 708, 38280, 9, 0, 15, 8.84997395357646E-6, 0
34, 2, 17, 6, 1350, 2, 0, 75, 1.5368051164909663E-4, 1
40, 2, 4992, 3859, 301647, 26, 0, 60, 0.035881143911522514, 0
131, 1, 3470, 1518, 113846, 25, 14, 32, 1.14073919805846E-4, 0
11, 1, 14, 1, 664, 6, 1, 44, 0.002274611363465083, 1
10, 2, 0, 0, 22, 3, 0, 22, 5.145296146874817E-5, 1
79, 1, 67, 42, 3965, 2, 0, 58, 1.1999968173602695E-5, 0
14, 2, 2, 0, 330, 4, 0, 110, 3.6910769891549446E-4, 1
182, 2, 4712, 2229, 121311, 8, 1, 25, 2.9104627875293795E-5, 0
47, 1, 396, 3, 18690, 74, 31, 47, 0.0012971780858940108, 1
