Type , Left         , Old Mid    , Right      , New Mid      , Frequency
SUB  , '+'          , NUMBER     , NEWLINE    , '+'          , 21       
SUB  , STRING       , ':'        , NUMBER     , '='          , 21       
INS  , ','          ,            , STRING     , '{'          , 20       
INS  , '/'          ,            , NEWLINE    , '>'          , 20       
SUB  , STRING       , ','        , NUMBER     , ':'          , 20       
DEL  , '}'          , ']'        , EOS        ,              , 20       
DEL  , ')'          , NEWLINE    , EOS        ,              , 20       
DEL  , ')'          , ']'        , NEWLINE    ,              , 20       
SUB  , NAME         , ','        , NAME       , NAME         , 20       
INS  , ')'          ,            , NEWLINE    , NAME         , 20       
INS  , BOS          ,            , 'from'     , '>>'         , 20       
DEL  , NAME         , ')'        , 'for'      ,              , 20       
DEL  , BOS          , '['        , '['        ,              , 19       
INS  , 'def'        ,            , NAME       , NAME         , 19       
INS  , NEWLINE      ,            , 'return'   , 98           , 19       
DEL  , NEWLINE      , 98         , 'while'    ,              , 19       
SUB  , STRING       , ':'        , STRING     , NAME         , 19       
INS  , ':'          ,            , 'global'   , NEWLINE      , 19       
SUB  , NEWLINE      , 98         , 'if'       , 99           , 19       
INS  , '}'          ,            , EOS        , UNKNOWN_CHAR , 19       
INS  , NEWLINE      ,            , STRING     , NAME         , 19       
INS  , UNKNOWN_CHAR ,            , NAME       , '/'          , 19       
DEL  , '}'          , ','        , NAME       ,              , 19       
INS  , NAME         ,            , ')'        , UNKNOWN_CHAR , 19       
DEL  , NUMBER       , ']'        , ')'        ,              , 19       
INS  , NEWLINE      ,            , '@'        , 98           , 19       
INS  , ')'          ,            , '>'        , NEWLINE      , 19       
INS  , BOS          ,            , '['        , NEWLINE      , 19       
INS  , NAME         ,            , ')'        , ']'          , 19       
DEL  , '}'          , ')'        , NEWLINE    ,              , 19       
INS  , '{'          ,            , NAME       , UNKNOWN_CHAR , 19       
INS  , '='          ,            , STRING     , NAME         , 18       
SUB  , STRING       , ','        , STRING     , NUMBER       , 18       
DEL  , NAME         , ']'        , ']'        ,              , 18       
INS  , '('          ,            , NEWLINE    , ')'          , 18       
INS  , NAME         ,            , EOS        , STRING       , 18       
DEL  , ']'          , ':'        , NEWLINE    ,              , 18       
DEL  , '.'          , NAME       , NEWLINE    ,              , 18       
INS  , NEWLINE      ,            , '['        , 98           , 18       
DEL  , NAME         , '='        , '['        ,              , 18       
DEL  , ']'          , ','        , NAME       ,              , 18       
SUB  , ')'          , ':'        , NAME       , NEWLINE      , 18       
DEL  , '}'          , NEWLINE    , NAME       ,              , 18       
INS  , NAME         ,            , NEWLINE    , NUMBER       , 18       
INS  , NEWLINE      ,            , NUMBER     , NUMBER       , 18       
INS  , NAME         ,            , '.'        , '.'          , 18       
SUB  , NEWLINE      , NAME       , NEWLINE    , 'continue'   , 18       
DEL  , '='          , '('        , NAME       ,              , 18       
SUB  , BOS          , NAME       , '>'        , '>>'         , 18       
INS  , ','          ,            , STRING     , NUMBER       , 17       
SUB  , NAME         , ')'        , NEWLINE    , STRING       , 17       
DEL  , NEWLINE      , 99         , 'def'      ,              , 17       
INS  , BOS          ,            , 'class'    , UNKNOWN_CHAR , 17       
DEL  , ':'          , ']'        , EOS        ,              , 17       
INS  , NAME         ,            , NEWLINE    , '='          , 17       
INS  , ')'          ,            , '/'        , '<'          , 17       
SUB  , NEWLINE      , 'return'   , NAME       , NAME         , 17       
DEL  , ']'          , '}'        , '}'        ,              , 17       
INS  , NAME         ,            , EOS        , NUMBER       , 17       
DEL  , STRING       , ')'        , '('        ,              , 17       
INS  , NEWLINE      ,            , NAME       , '%'          , 17       
INS  , NAME         ,            , '/'        , ':'          , 17       
SUB  , STRING       , '='        , STRING     , NAME         , 17       
INS  , ']'          ,            , EOS        , ')'          , 17       
INS  , ']'          ,            , NEWLINE    , UNKNOWN_CHAR , 17       
INS  , NEWLINE      ,            , NEWLINE    , STRING       , 17       
INS  , NAME         ,            , NAME       , ','          , 17       
SUB  , UNKNOWN_CHAR , STRING     , ')'        , UNKNOWN_CHAR , 17       
DEL  , BOS          , 'from'     , NAME       ,              , 16       
DEL  , NAME         , '='        , '{'        ,              , 16       
INS  , NEWLINE      ,            , 'for'      , 99           , 16       
DEL  , 99           , NEWLINE    , 99         ,              , 16       
INS  , NEWLINE      ,            , 'try'      , 98           , 16       
INS  , '%'          ,            , STRING     , NAME         , 16       
INS  , BOS          ,            , 'import'   , '>>'         , 16       
DEL  , NUMBER       , ')'        , EOS        ,              , 16       
DEL  , ']'          , ')'        , ','        ,              , 16       
DEL  , NEWLINE      , 98         , STRING     ,              , 16       
INS  , ']'          ,            , '}'        , NEWLINE      , 16       
DEL  , ':'          , '['        , STRING     ,              , 16       
DEL  , ':'          , 98         , 'pass'     ,              , 16       
INS  , NEWLINE      ,            , ')'        , 99           , 16       
DEL  , ')'          , '.'        , NAME       ,              , 16       
INS  , '+'          ,            , STRING     , UNKNOWN_CHAR , 16       
INS  , '['          ,            , NUMBER     , NUMBER       , 16       
INS  , 'for'        ,            , NAME       , NAME         , 16       
SUB  , NAME         , ','        , STRING     , NAME         , 16       
DEL  , '+'          , NUMBER     , NEWLINE    ,              , 16       
INS  , '/'          ,            , NAME       , NAME         , 16       
INS  , NAME         ,            , '.'        , STRING       , 16       
INS  , NAME         ,            , NAME       , '['          , 16       
SUB  , NUMBER       , ']'        , ')'        , ')'          , 16       
INS  , ')'          ,            , '.'        , NEWLINE      , 16       
SUB  , NEWLINE      , NAME       , '>'        , '>>'         , 16       
INS  , NAME         ,            , NAME       , '-'          , 16       
DEL  , STRING       , ')'        , ']'        ,              , 16       
INS  , '>>'         ,            , 'from'     , '>'          , 16       
SUB  , STRING       , STRING     , NEWLINE    , NEWLINE      , 15       
