Snippet length, Patch size, Time to find human repair (ms), First valid repair, Total repairs sampled, Distinct valid repairs, Throughput
18, 1, 248, 216, 13591, 11, 54
37, 1, 901, 795, 34883, 4, 38
54, 1, 2157, 1693, 64765, 68, 30
44, 2, 680, 658, 4835, 4, 7
17, 1, 140, 111, 5944, 11, 42
29, 1, 305, 281, 4463, 23, 14
25, 1, 1466, 704, 112150, 24, 76
24, 3, 5975, 2853, 493371, 40, 82
100, 1, 8833, 6343, 388078, 49, 43
31, 2, 23, 0, 126, 1, 5
119, 3, 2349, 2185, 33985, 26, 14
162, 2, 5358, 5062, 55482, 23, 10
230, 2, 5910, 5328, 114908, 22, 19
98, 2, 906, 899, 2585, 1, 2
19, 1, 2, 2, 55, 1, 18
35, 2, 8415, 5511, 696471, 1, 82
48, 1, 2368, 1608, 147625, 52, 62
38, 1, 450, 443, 2699, 2, 5
56, 1, 878, 818, 18130, 4, 20
25, 1, 1171, 676, 95432, 74, 81
42, 2, 327, 305, 4328, 9, 13
131, 2, 3218, 3108, 20871, 8, 6
13, 1, 56, 51, 2260, 5, 39
60, 2, 1173, 1009, 31334, 23, 26
69, 2, 2773, 2014, 96946, 61, 34
44, 1, 5496, 3213, 357448, 55, 65
146, 1, 2719, 2294, 52915, 101, 19
40, 2, 166, 162, 1298, 5, 7
26, 1, 215, 199, 3113, 4, 14
138, 2, 2654, 2201, 78757, 43, 29
18, 1, 261, 219, 7416, 9, 28
20, 1, 113, 93, 6650, 21, 58
19, 1, 264, 230, 12222, 10, 46
53, 2, 1277, 1121, 27900, 33, 21
214, 2, 3807, 3737, 14812, 2, 3
24, 3, 945, 476, 101462, 94, 107
33, 1, 134, 121, 2612, 9, 19
15, 1, 94, 92, 588, 3, 6
26, 1, 205, 190, 3273, 6, 15
26, 2, 92, 92, 505, 1, 5
52, 2, 4432, 0, 225154, 1, 50
181, 2, 2962, 2628, 47789, 21, 16
66, 1, 1803, 1675, 33232, 24, 18
103, 1, 1444, 1289, 30391, 4, 21
9, 2, 0, 0, 63, 1, 63
23, 1, 330, 319, 5007, 4, 15
62, 1, 2166, 1800, 62674, 18, 28
99, 2, 2158, 1958, 40325, 7, 18
26, 1, 270, 214, 24557, 35, 90
53, 1, 386, 348, 9184, 13, 23
36, 1, 200, 189, 2766, 4, 13
204, 2, 7882, 6737, 138507, 163, 17
30, 3, 1928, 906, 177846, 156, 92
93, 2, 1305, 1239, 12164, 8, 9
33, 1, 260, 200, 9547, 43, 36
15, 1, 143, 125, 4497, 20, 31
29, 1, 1043, 857, 43178, 98, 41
34, 2, 298, 296, 1317, 1, 4
41, 1, 847, 746, 14193, 23, 16
43, 2, 150, 143, 1817, 4, 12
41, 1, 312, 232, 14352, 9, 45
29, 1, 339, 318, 8365, 13, 24
92, 1, 3071, 1920, 80131, 72, 26
30, 1, 817, 463, 70177, 33, 85
74, 2, 612, 610, 2069, 1, 3
47, 1, 284, 273, 3482, 11, 12
26, 1, 258, 246, 3635, 9, 14
12, 2, 559, 263, 69379, 211, 123
27, 1, 167, 137, 5104, 17, 30
122, 3, 2963, 2789, 34723, 7, 11
4, 1, 131, 92, 14178, 80, 107
57, 2, 817, 751, 14716, 12, 17
50, 3, 833, 685, 17906, 3, 21
16, 2, 132, 125, 2274, 1, 17
294, 1, 3231, 2669, 32874, 65, 10
26, 1, 100, 91, 3314, 6, 32
185, 2, 4230, 4120, 20401, 8, 4
99, 2, 1435, 1413, 7459, 2, 5
162, 2, 2689, 2229, 67999, 10, 25
37, 2, 59, 0, 810, 1, 13
57, 1, 4444, 2959, 246652, 68, 55
21, 1, 90, 88, 1098, 3, 12
27, 2, 255, 0, 1712, 1, 6
39, 1, 498, 461, 6372, 29, 12
55, 2, 488, 422, 10551, 5, 21
60, 2, 1206, 1046, 32359, 24, 26
57, 1, 663, 614, 7719, 7, 11
25, 1, 258, 190, 11994, 38, 46
13, 3, 7809, 2354, 1314469, 26, 168
14, 1, 195, 176, 5442, 3, 27
21, 2, 2502, 1084, 322862, 34, 128
40, 1, 269, 220, 8258, 28, 30
40, 2, 332, 325, 3582, 1, 10
283, 2, 3067, 3062, 1857, 2, 0
11, 1, 6, 5, 171, 2, 24
115, 1, 3909, 3472, 74636, 11, 19
27, 2, 191, 0, 357, 1, 1
84, 1, 1173, 1109, 17219, 10, 14
17, 2, 170, 163, 2109, 2, 12
93, 2, 617, 0, 2084, 1, 3
60, 1, 1509, 1307, 53939, 27, 35
6, 1, 14, 13, 108, 2, 7
10, 2, 6, 6, 166, 1, 23
27, 2, 5719, 3105, 541770, 1, 94
22, 2, 3719, 1656, 341339, 5, 91
21, 2, 37, 0, 61, 1, 1
10, 1, 17, 16, 318, 6, 17
23, 1, 502, 237, 37808, 39, 75
11, 1, 61, 40, 5052, 32, 81
29, 1, 298, 280, 3577, 5, 11
36, 2, 140, 137, 520, 1, 3
47, 2, 291, 277, 3476, 3, 11
170, 1, 5366, 4954, 54901, 82, 10
86, 1, 1835, 1567, 32496, 7, 17
18, 1, 450, 323, 38158, 4, 84
24, 2, 21, 19, 677, 5, 30
199, 2, 2707, 0, 15179, 1, 5
82, 2, 567, 0, 660, 1, 1
10, 2, 76, 0, 1155, 1, 15
189, 1, 2500, 2328, 22569, 22, 9
118, 2, 1935, 1796, 29880, 18, 15
12, 2, 9, 0, 28, 1, 2
17, 2, 96, 0, 758, 1, 7
553, 2, 8768, 8502, 14315, 13, 1
53, 1, 786, 693, 19177, 64, 24
9, 1, 141, 120, 5405, 19, 38
26, 2, 101, 95, 878, 3, 8
35, 2, 91, 89, 817, 1, 8
32, 2, 102, 0, 1260, 1, 12
158, 2, 9725, 8800, 186217, 51, 19
39, 2, 404, 0, 2428, 1, 5
73, 2, 54, 52, 667, 1, 12
13, 1, 102, 99, 2846, 4, 27
145, 2, 6440, 5931, 103827, 43, 16
68, 2, 1519, 1185, 69688, 60, 45
65, 2, 641, 553, 13869, 17, 21
17, 1, 330, 235, 20934, 4, 63
13, 3, 204, 137, 35613, 7, 173
10, 3, 20, 0, 298, 1, 14
44, 1, 645, 599, 13844, 6, 21
35, 2, 276, 228, 5208, 27, 18
34, 2, 495, 0, 28649, 1, 57
51, 1, 3045, 2233, 142560, 246, 46
81, 2, 712, 689, 5077, 5, 7
17, 1, 210, 166, 10446, 79, 49
71, 2, 3707, 3201, 126828, 17, 34
120, 2, 4770, 3932, 168246, 31, 35
10, 3, 8, 0, 231, 1, 25
25, 1, 18, 13, 864, 14, 45
23, 1, 180, 158, 5538, 7, 30
111, 2, 1515, 1292, 29883, 7, 19
33, 1, 373, 311, 12012, 1, 32
34, 1, 355, 308, 10061, 54, 28
54, 1, 1427, 1189, 76372, 8, 53
87, 1, 2245, 2098, 25628, 4, 11
34, 1, 513, 493, 11575, 1, 22
76, 2, 807, 789, 6322, 6, 7
17, 2, 156, 150, 1547, 15, 9
14, 2, 121, 95, 5454, 2, 44
13, 1, 113, 77, 11093, 12, 97
32, 1, 354, 351, 966, 5, 2
41, 1, 578, 559, 5114, 14, 8
13, 1, 58, 48, 3289, 17, 55
14, 2, 27, 27, 59, 1, 2
104, 2, 1246, 0, 3148, 1, 2
14, 1, 67, 59, 1795, 6, 26
42, 1, 820, 594, 48143, 150, 58
13, 1, 96, 81, 4791, 52, 49
10, 1, 28, 24, 887, 5, 30
50, 2, 426, 0, 359, 1, 0
24, 2, 5243, 0, 572354, 1, 109
61, 2, 2323, 0, 157488, 1, 67
50, 1, 3770, 2406, 215563, 27, 57
21, 3, 7298, 3090, 678052, 42, 92
13, 1, 59, 53, 1612, 2, 26
22, 1, 152, 121, 6013, 9, 39
66, 1, 3257, 2349, 171787, 353, 52
41, 2, 661, 580, 16995, 18, 25
6, 1, 51, 47, 2193, 3, 42
110, 1, 5388, 4542, 116695, 217, 21
31, 1, 320, 312, 2042, 4, 6
42, 1, 1390, 0, 75864, 1, 54
50, 2, 165, 152, 3314, 3, 19
30, 2, 1115, 835, 55505, 42, 49
50, 1, 640, 570, 19038, 6, 29
54, 1, 789, 665, 17516, 10, 22
37, 2, 801, 608, 50022, 12, 62
16, 1, 53, 48, 1364, 6, 25
31, 2, 180, 175, 1368, 4, 7
71, 1, 1515, 1398, 32056, 7, 21
24, 1, 2010, 1230, 150192, 307, 74
97, 2, 1148, 1029, 26779, 10, 23
127, 1, 1813, 1438, 47359, 66, 26
14, 3, 1963, 1009, 171450, 11, 87
52, 1, 524, 499, 4393, 41, 8
14, 2, 2, 0, 230, 1, 76
10, 2, 2, 2, 30, 1, 10
40, 2, 1918, 0, 118409, 1, 61
34, 2, 73, 0, 1314, 1, 17
9, 1, 13, 0, 74, 1, 5
54, 2, 250, 244, 1926, 2, 7
130, 2, 2009, 1965, 12769, 1, 6
79, 1, 1389, 1144, 47325, 9, 34
14, 1, 131, 62, 18618, 83, 141
14, 1, 76, 0, 4616, 1, 59
11, 1, 109, 82, 6968, 8, 63
189, 2, 8554, 0, 113907, 1, 13
30, 3, 3605, 1752, 249298, 42, 69
16, 1, 20, 14, 1333, 22, 63
32, 1, 644, 527, 18717, 5, 29
41, 2, 5407, 3419, 273697, 70, 50
28, 3, 298, 218, 15189, 18, 50
22, 1, 507, 397, 18770, 26, 36
29, 3, 996, 725, 41435, 50, 41
46, 1, 1873, 1415, 65931, 26, 35
26, 3, 547, 403, 30774, 21, 56
33, 2, 210, 0, 2045, 1, 9
73, 1, 654, 611, 8026, 8, 12
74, 1, 2504, 1555, 80161, 83, 32
30, 1, 642, 478, 44923, 121, 69
41, 3, 964, 726, 52409, 47, 54
114, 2, 1225, 1080, 29435, 21, 24
15, 1, 14, 11, 859, 2, 57
137, 1, 1422, 1269, 15950, 99, 11
129, 2, 1733, 1592, 30239, 11, 17
14, 1, 218, 182, 7907, 5, 36
33, 2, 5388, 3946, 422651, 37, 78
19, 1, 4281, 2132, 443561, 485, 103
61, 2, 837, 804, 9064, 2, 10
19, 1, 193, 165, 8472, 26, 43
68, 2, 658, 636, 2968, 5, 4
24, 1, 248, 218, 6613, 12, 26
30, 1, 344, 311, 5094, 12, 14
59, 2, 526, 436, 21300, 1, 40
54, 2, 445, 0, 7107, 1, 15
54, 2, 1670, 0, 61766, 1, 36
49, 1, 480, 460, 3718, 17, 7
39, 2, 99, 0, 878, 1, 8
20, 1, 391, 221, 30955, 4, 78
26, 1, 409, 371, 12555, 9, 30
16, 1, 70, 67, 923, 1, 13
38, 1, 707, 664, 20768, 4, 29
66, 2, 469, 457, 2794, 4, 5
18, 1, 282, 150, 22359, 84, 79
15, 3, 3683, 1059, 528042, 4, 143
164, 2, 8439, 7756, 134186, 34, 15
16, 1, 317, 237, 16789, 63, 52
28, 1, 85, 73, 2165, 16, 25
71, 2, 610, 550, 7760, 8, 12
65, 2, 3373, 2827, 116842, 57, 34
36, 1, 605, 413, 30239, 30, 49
22, 2, 12, 10, 212, 3, 16
92, 2, 1939, 1792, 25447, 1, 13
18, 1, 330, 230, 19415, 12, 58
48, 2, 504, 0, 2697, 1, 5
64, 2, 2616, 0, 112009, 1, 42
19, 1, 760, 415, 72651, 40, 95
56, 1, 789, 733, 17299, 3, 21
28, 2, 314, 0, 11419, 1, 36
16, 1, 126, 106, 3129, 14, 24
45, 1, 719, 695, 8539, 3, 11
24, 1, 290, 0, 21251, 1, 73
286, 2, 7179, 6775, 80608, 11, 11
52, 1, 563, 541, 4088, 23, 7
37, 1, 267, 0, 51, 1, 0
39, 1, 208, 204, 946, 4, 4
39, 1, 225, 188, 7734, 8, 34
39, 3, 954, 650, 70500, 109, 73
22, 1, 29, 27, 753, 1, 25
36, 1, 4031, 2301, 311379, 306, 77
63, 1, 858, 628, 46545, 13, 54
9, 1, 7, 0, 75, 1, 9
85, 1, 2446, 1881, 78815, 29, 32
42, 1, 5657, 3505, 401669, 32, 70
26, 1, 512, 485, 13499, 3, 26
53, 2, 488, 435, 10907, 14, 22
16, 1, 73, 71, 730, 1, 9
90, 1, 2593, 2288, 61056, 24, 23
77, 1, 824, 766, 5497, 80, 6
35, 2, 463, 0, 4479, 1, 9
16, 2, 1388, 925, 162384, 19, 116
64, 1, 1223, 835, 48261, 14, 39
11, 1, 236, 170, 24322, 11, 102
127, 1, 6684, 5195, 117104, 282, 17
40, 2, 2162, 0, 76299, 1, 35
15, 2, 1064, 413, 175577, 52, 164
41, 1, 4161, 3045, 226439, 9, 54
11, 2, 0, 0, 17, 1, 17
230, 2, 2414, 2413, 1417, 1, 0
26, 2, 1480, 943, 127538, 14, 86
33, 2, 1221, 729, 111711, 40, 91
60, 2, 612, 575, 7234, 14, 11
20, 2, 15, 0, 120, 1, 7
15, 1, 187, 177, 10829, 3, 57
11, 1, 78, 60, 16806, 4, 212
25, 1, 280, 251, 7114, 12, 25
10, 1, 115, 87, 8529, 72, 73
9, 1, 113, 100, 11298, 4, 99
33, 2, 85, 0, 2206, 1, 25
10, 1, 274, 192, 25306, 14, 92
9, 2, 16, 14, 677, 2, 39
47, 2, 1657, 1323, 53927, 3, 32
21, 2, 91, 88, 846, 1, 9
57, 1, 6228, 4221, 317067, 35, 50
37, 1, 376, 364, 2703, 15, 7
59, 2, 690, 667, 4989, 6, 7
7, 1, 140, 84, 15644, 90, 110
70, 2, 751, 713, 20219, 1, 26
56, 1, 732, 0, 166, 1, 0
69, 2, 977, 937, 8833, 7, 9
46, 2, 382, 0, 780, 1, 2
167, 2, 1686, 1680, 1077, 1, 0
17, 1, 285, 218, 12940, 9, 45
50, 1, 605, 590, 3343, 10, 5
70, 2, 578, 544, 6528, 9, 11
57, 2, 96, 0, 109, 1, 1
55, 2, 831, 0, 13319, 1, 16
